iter	RMSE
0	15.11995903
1	14.73021626
2	14.37649317
3	14.0462851
4	13.72962269
5	13.4366621
6	13.18491239
7	12.95054227
8	12.73168962
9	12.50943161
10	12.30517251
11	12.12791183
12	11.96086177
13	11.8008783
14	11.65819192
15	11.51703124
16	11.38896134
17	11.28940711
18	11.18888059
19	11.08799367
20	10.99657213
21	10.91323513
22	10.83209532
23	10.76274897
24	10.69677826
25	10.63835197
26	10.58722674
27	10.53792769
28	10.49107463
29	10.45458662
30	10.41637013
31	10.37849124
32	10.34585625
33	10.3151706
34	10.28840835
35	10.26171875
36	10.23684359
37	10.2133748
38	10.19092219
39	10.17357563
40	10.15535974
41	10.14116525
42	10.12588603
43	10.11086791
44	10.09623936
45	10.08429052
46	10.07088453
47	10.0594142
48	10.04700726
49	10.03714903
50	10.02780713
51	10.01956822
52	10.01273308
53	10.00430998
54	9.998442282
55	9.990484961
56	9.984163685
57	9.979161535
58	9.973291153
59	9.968939388
60	9.965075199
61	9.962552614
62	9.958388234
63	9.952978596
64	9.947843776
65	9.942037764
66	9.936337962
67	9.932273889
68	9.926361815
69	9.919749075
70	9.916831199
71	9.914032867
72	9.910522269
73	9.905281006
74	9.901744067
75	9.896660041
76	9.893896935
77	9.891737623
78	9.888085603
79	9.885509358
80	9.882042362
81	9.880135699
82	9.872414566
83	9.868325516
84	9.865238013
85	9.859462652
86	9.856715096
87	9.855662391
88	9.853150206
89	9.852239549
90	9.848866125
91	9.846293436
92	9.84273614
93	9.840982959
94	9.838741357
95	9.836067163
96	9.834297206
97	9.828111717
98	9.82686714
99	9.825434732
100	9.819153575
101	9.818225627
102	9.815232494
103	9.811974973
104	9.81000806
105	9.807187588
106	9.804261383
107	9.803366014
108	9.801156894
109	9.798535142
110	9.798414405
111	9.796787459
112	9.795684408
113	9.790894203
114	9.788391882
115	9.788364511
116	9.785935613
117	9.784408819
118	9.782030038
119	9.778254338
120	9.77590842
121	9.772778759
122	9.771173794
123	9.770007903
124	9.766456207
125	9.763805316
126	9.76309564
127	9.758267798
128	9.755723042
129	9.753774664
130	9.752033011
131	9.749166794
132	9.747523528
133	9.745969642
134	9.744697179
135	9.742930807
136	9.740177991
137	9.73751194
138	9.736455781
139	9.732667534
140	9.73049996
141	9.727021067
142	9.724169447
143	9.722954443
144	9.721652188
145	9.718542673
146	9.715072568
147	9.713368898
148	9.711094924
149	9.708742753
150	9.708688205
151	9.708525711
152	9.707414904
153	9.706609344
154	9.704494706
155	9.70152377
156	9.699414445
157	9.696047618
158	9.695048379
159	9.692488642
160	9.689891474
161	9.68790376
162	9.687110357
163	9.683801667
164	9.683304963
165	9.679305955
166	9.677071887
167	9.672684886
168	9.670015372
169	9.66605375
170	9.662230034
171	9.65963922
172	9.656293624
173	9.654343813
174	9.652619668
175	9.6502485
176	9.648525174
177	9.643528459
178	9.641816914
179	9.639749304
180	9.637436762
181	9.635949365
182	9.631918655
183	9.629987569
184	9.62679671
185	9.625234082
186	9.623317258
187	9.620105698
188	9.616350249
189	9.613718037
190	9.609920768
191	9.608113245
192	9.605624843
193	9.604235321
194	9.603267437
195	9.599712801
196	9.599190395
197	9.59517075
198	9.591520171
199	9.590588598
200	9.590417112
201	9.587839285
202	9.586477918
203	9.586280769
204	9.585424347
205	9.582088943
206	9.580278165
207	9.57773763
208	9.576454022
209	9.572991904
210	9.56987466
211	9.569261873
212	9.567345918
213	9.564536125
214	9.561718591
215	9.558156365
216	9.556299106
217	9.554088618
218	9.54965682
219	9.549190414
220	9.545989044
221	9.544879484
222	9.541429658
223	9.53836752
224	9.532639142
225	9.532490041
226	9.53088108
227	9.528019091
228	9.526204736
229	9.522669564
230	9.519937184
231	9.517777247
232	9.513405906
233	9.512996045
234	9.510337409
235	9.508185837
236	9.507027865
237	9.506172934
238	9.505415937
239	9.505164229
240	9.50318369
241	9.500917293
242	9.497487009
243	9.497246978
244	9.494363981
245	9.494260108
246	9.493484263
247	9.492177071
248	9.4915495
249	9.488334631
250	9.485789389
251	9.484476173
252	9.484281777
253	9.48208975
254	9.479731799
255	9.477809197
256	9.475187019
257	9.472937615
258	9.470527398
259	9.470397248
260	9.467897789
261	9.46599132
262	9.464773668
263	9.461268029
264	9.461184375
265	9.460235954
266	9.457783736
267	9.455191344
268	9.453629842
269	9.45166715
270	9.45078913
271	9.449266213
272	9.447431789
273	9.443147617
274	9.440374672
275	9.439385991
276	9.438215614
277	9.434725804
278	9.431969331
279	9.43053876
280	9.428657418
281	9.427592453
282	9.427352184
283	9.42716671
284	9.426702327
285	9.426478497
286	9.424305077
287	9.422285941
288	9.418833025
289	9.41653862
290	9.413338489
291	9.411359048
292	9.40964071
293	9.407820913
294	9.406638524
295	9.406342639
296	9.404580558
297	9.403200629
298	9.400520565
299	9.400330286
300	9.399420522
301	9.397506144
302	9.395709446
303	9.395297742
304	9.394126089
305	9.393644582
