gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,reading_score,writing_score,math_score
female,group C,some high school,free/reduced,none,83,86,81
male,group C,master's degree,standard,none,69,67,57
female,group D,master's degree,free/reduced,completed,85,83,60
female,group C,bachelor's degree,free/reduced,none,87,93,94
female,group E,some college,free/reduced,none,83,80,71
male,group C,bachelor's degree,standard,none,88,91,75
female,group E,high school,standard,completed,59,55,40
female,group C,master's degree,free/reduced,none,79,80,63
female,group E,associate's degree,free/reduced,completed,62,64,42
male,group C,some high school,standard,none,53,56,45
female,group C,high school,free/reduced,completed,76,83,69
female,group B,associate's degree,standard,completed,81,76,43
female,group E,high school,standard,completed,64,64,38
female,group E,bachelor's degree,standard,none,70,73,48
male,group E,bachelor's degree,standard,completed,80,83,50
female,group A,some high school,standard,none,60,58,38
male,group C,master's degree,free/reduced,none,82,83,80
male,group E,some high school,standard,completed,56,55,55
male,group A,associate's degree,free/reduced,none,76,79,55
female,group B,high school,free/reduced,completed,51,50,45
male,group E,some high school,free/reduced,none,90,89,60
female,group E,some college,standard,completed,80,81,83
male,group A,some college,free/reduced,none,100,97,76
male,group C,master's degree,free/reduced,completed,55,51,22
male,group B,some high school,free/reduced,none,79,72,82
male,group E,associate's degree,standard,none,69,68,51
male,group C,some college,free/reduced,completed,48,44,57
male,group B,master's degree,standard,none,71,69,65
male,group D,some high school,standard,none,78,84,67
male,group D,master's degree,free/reduced,completed,99,97,60
female,group B,associate's degree,free/reduced,completed,62,68,53
female,group A,some college,standard,completed,77,78,46
male,group B,some college,standard,completed,74,72,55
male,group B,some college,free/reduced,completed,67,61,52
male,group A,bachelor's degree,free/reduced,none,68,67,67
female,group A,some college,free/reduced,completed,81,78,57
male,group C,high school,free/reduced,none,68,73,77
female,group C,bachelor's degree,free/reduced,none,66,75,41
female,group A,some high school,standard,none,62,67,43
female,group D,bachelor's degree,standard,none,47,43,37
female,group D,bachelor's degree,standard,none,84,84,43
female,group B,bachelor's degree,standard,completed,62,60,36
male,group E,master's degree,standard,completed,88,85,73
male,group B,high school,free/reduced,completed,88,87,79
male,group B,associate's degree,standard,completed,100,100,70
male,group E,some college,free/reduced,completed,76,85,59
male,group A,bachelor's degree,standard,completed,78,79,67
female,group D,associate's degree,standard,none,79,83,47
male,group B,master's degree,free/reduced,completed,73,78,58
male,group E,associate's degree,standard,completed,87,90,68
female,group C,bachelor's degree,standard,completed,68,74,74
male,group B,some high school,standard,completed,78,76,66
female,group D,high school,standard,completed,68,72,56
male,group A,associate's degree,free/reduced,none,50,59,51
female,group B,bachelor's degree,standard,none,81,77,65
male,group B,bachelor's degree,standard,none,28,26,12
male,group E,some college,standard,completed,78,75,68
female,group C,some high school,standard,completed,86,96,81
female,group C,some college,standard,completed,78,72,56
female,group A,some high school,standard,none,58,58,48
female,group D,high school,standard,none,93,95,94
female,group A,some college,standard,completed,97,94,78
female,group B,high school,free/reduced,completed,79,74,59
female,group B,master's degree,free/reduced,none,97,92,65
female,group C,master's degree,free/reduced,none,100,99,70
male,group D,some high school,standard,none,60,57,47
male,group E,some high school,standard,completed,56,63,41
female,group D,some college,free/reduced,none,81,78,69
male,group B,master's degree,free/reduced,completed,22,19,12
male,group E,associate's degree,free/reduced,completed,66,67,81
male,group D,associate's degree,free/reduced,completed,60,61,50
male,group D,associate's degree,standard,none,67,51,31
female,group E,master's degree,free/reduced,none,51,46,40
male,group B,associate's degree,standard,none,67,64,48
female,group D,high school,free/reduced,none,79,73,67
male,group E,bachelor's degree,standard,completed,95,99,77
male,group B,some high school,standard,completed,77,69,62
male,group E,some college,standard,completed,43,48,63
female,group E,high school,standard,completed,70,59,49
male,group D,associate's degree,free/reduced,none,91,91,80
female,group B,bachelor's degree,standard,completed,66,73,66
male,group D,some college,standard,none,80,77,65
